"Net generation for all utility-scale solar"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=004&geo=qnifi05c03j78&sec=o3g&linechart=ELEC.GEN.SUN-US-99.M~ELEC.GEN.SUN-NV-99.M~ELEC.GEN.SUN-CA-99.M&columnchart=ELEC.GEN.SUN-US-99.M~ELEC.GEN.SUN-NV-99.M~ELEC.GEN.SUN-CA-99.M&map=ELEC.GEN.SUN-US-99.M&freq=M&start=200101&end=202012&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Mar 24 2021 20:46:21 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020"
"New Mexico : independent power producers","thousand megawatthours","ELEC.GEN.SUN-NM-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,4,4,5,5,6,7,8,8,8,13,15,17,15,19,18,18,23,21,27,27,28,23,23,25,21,31,21,23,29,28,32,31,30,30,29,31,24,23,13,13,16,15,28,62,52,51,46,49,37,30,25,34,39,46,49,46,43,45,39,33,30,27,22,27,34,34,38,34,36,46,55,66,59,50,45,53,88,96,103,111,84,90,85,82,53,51,54,65,84,103,121,128,112,112,107,80,68,50,55,59,85,100,107,120,113,114,95,92,58,51,71,80,91,120,138,146,149,136,118,111,86,78
"New Mexico : all commercial","thousand megawatthours","ELEC.GEN.SUN-NM-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : all industrial","thousand megawatthours","ELEC.GEN.SUN-NM-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Contiguous","thousand megawatthours","ELEC.GEN.SUN-PCC-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous : all sectors","thousand megawatthours","ELEC.GEN.SUN-PCC-99.M",7,13,31,39,81,91,92,85,65,21,14,4,11,24,44,46,58,95,86,75,53,31,28,4,13,18,50,60,68,91,62,62,56,35,14,4,12,10,53,56,81,88,82,73,60,33,15,8,8,12,37,57,80,87,71,75,60,37,12,2,12,19,32,51,69,68,60,81,53,32,15,3,13,19,48,53,83,81,76,64,57,41,20,2,12,28,56,71,76,100,90,85,73,46,21,11,2,22,55,73,80,81,95,86,69,47,25,12,2,20,51,75,106,121,117,105,86,39,34,14,1,34,50,83,101,130,112,139,102,81,29,28,4,36,88,129,177,220,192,153,148,116,72,54,65,131,230,241,269,358,347,474,462,410,411,437,358,410,713,844,980,1088,1003,1097,1074,972,811,605,682,895,1259,1422,1467,1518,1583,1615,1338,1133,1052,878,717,1197,1318,1548,1928,1854,2171,2149,1916,1613,1394,1043,979,1095,2050,2173,2746,2992,2735,2530,2364,2188,1349,1346,1264,1781,2044,2559,3085,3319,2880,2903,2753,2172,1539,1259,1297,1527,2325,2697,2812,3429,3453,3394,2790,2556,1664,1109,1654,2118,2250,2826,3526,3508,3791,3271,2644,2427,1936,1685
"Pacific Contiguous : electric power",,"ELEC.GEN.SUN-PCC-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous : electric utility","thousand megawatthours","ELEC.GEN.SUN-PCC-1.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,1,1,1,0,0,1,1,2,2,3,2,9,12,10,3,3,0,4,10,14,19,34,30,23,22,17,18,13,6,11,20,21,25,36,34,48,46,41,41,43,16,18,31,37,43,47,44,48,46,42,35,24,20,29,43,48,48,50,51,52,43,36,33,28,18,30,34,39,49,47,55,54,48,40,35,25,18,20,38,41,52,56,53,49,47,43,26,25,24,34,39,49,59,64,55,56,53,41,28,23,22,26,39,45,47,57,56,54,45,41,26,17,27,33,39,48,56,55,59,51,42,40,33,27
"Pacific Contiguous : independent power producers","thousand megawatthours","ELEC.GEN.SUN-PCC-94.M",6,12,31,38,81,91,92,85,64,21,14,4,11,23,44,46,57,95,85,74,52,31,28,4,13,18,50,60,68,90,62,62,56,35,14,4,12,10,52,56,81,88,81,73,60,33,15,7,8,12,37,57,79,87,70,74,60,36,12,2,12,19,32,51,68,67,60,81,53,32,15,3,13,19,48,53,83,81,76,64,57,41,20,1,12,28,56,71,76,100,89,85,73,46,21,11,2,22,55,73,80,80,94,85,69,46,25,12,2,20,50,74,104,119,114,102,84,38,33,12,0,33,47,78,95,123,106,126,87,69,25,24,3,31,75,110,151,179,155,124,119,93,51,38,58,116,204,214,237,314,305,416,406,360,362,386,340,389,675,799,928,1030,950,1040,1018,919,767,575,657,860,1207,1364,1408,1457,1521,1551,1286,1089,1011,844,693,1158,1276,1498,1866,1794,2101,2080,1855,1562,1350,1011,956,1068,2000,2120,2679,2918,2666,2466,2304,2132,1315,1313,1232,1736,1993,2495,3007,3236,2807,2829,2683,2117,1501,1229,1266,1491,2270,2633,2745,3350,3374,3318,2727,2498,1627,1085,1614,2071,2194,2757,3444,3427,3704,3195,2580,2368,1888,1644
"Pacific Contiguous : all commercial","thousand megawatthours","ELEC.GEN.SUN-PCC-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,3,3,4,4,4,3,3,1,1,"NM",1,3,4,6,7,6,5,7,6,3,2,1,3,5,5,6,8,7,10,10,9,9,9,3,4,6,8,9,10,9,10,9,11,9,6,4,6,9,10,10,10,10,10,9,7,7,6,5,8,9,10,12,12,14,14,12,10,9,6,5,6,10,11,13,15,13,12,12,11,7,6,6,9,11,13,17,18,16,16,15,12,8,7,7,8,12,14,15,18,18,18,14,13,8,6,9,11,13,16,19,18,20,17,14,13,11,9
"Pacific Contiguous : all industrial","thousand megawatthours","ELEC.GEN.SUN-PCC-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,3,4,4,5,5,5,4,4,2,2,3,3,4,5,8,7,8,7,7,6,5,5
"California","thousand megawatthours","ELEC.GEN.SUN-CA-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California : all sectors","thousand megawatthours","ELEC.GEN.SUN-CA-99.M",7,13,31,39,81,91,92,85,65,21,14,4,11,24,44,46,58,95,86,75,53,31,28,4,13,18,50,60,68,91,62,62,56,35,14,4,12,10,53,56,81,88,82,73,60,33,15,8,8,12,37,57,80,87,71,75,60,37,12,2,12,19,32,51,69,68,60,81,53,32,15,3,13,19,48,53,83,81,76,64,57,41,20,2,12,28,56,71,76,100,90,85,73,46,21,11,2,22,55,73,80,81,95,86,69,47,25,12,2,20,51,75,106,121,117,105,86,39,34,14,1,34,49,82,100,130,112,139,102,81,29,28,4,36,88,128,176,219,191,152,148,115,72,53,65,130,228,239,267,356,345,471,460,408,409,435,358,409,711,842,978,1085,1000,1095,1072,969,809,604,680,893,1256,1419,1464,1515,1581,1612,1336,1131,1050,876,716,1195,1316,1545,1924,1851,2167,2145,1911,1609,1389,1039,972,1087,2035,2158,2726,2970,2715,2511,2347,2165,1335,1331,1242,1751,2005,2509,3024,3253,2814,2837,2689,2124,1505,1233,1265,1493,2266,2629,2739,3340,3366,3309,2723,2494,1625,1082,1615,2052,2172,2725,3411,3379,3646,3143,2542,2331,1870,1627
"California : electric power",,"ELEC.GEN.SUN-CA-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California : electric utility","thousand megawatthours","ELEC.GEN.SUN-CA-1.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,1,1,1,0,0,1,1,2,2,2,2,9,12,9,3,3,0,4,9,14,19,34,29,23,22,17,18,13,5,11,20,21,25,35,33,47,45,40,40,42,15,17,31,36,42,46,43,47,46,41,34,23,20,29,42,47,47,49,51,51,42,36,33,27,18,30,33,39,48,46,54,53,47,40,34,25,18,20,38,41,51,56,52,48,46,43,26,25,24,34,39,48,58,63,54,55,52,41,28,22,22,25,39,45,47,57,56,54,44,40,26,17,27,32,39,48,55,54,58,51,42,39,32,27
"California : independent power producers","thousand megawatthours","ELEC.GEN.SUN-CA-94.M",6,12,31,38,81,91,92,85,64,21,14,4,11,23,44,46,57,95,85,74,52,31,28,4,13,18,50,60,68,90,62,62,56,35,14,4,12,10,52,56,81,88,81,73,60,33,15,7,8,12,37,57,79,87,70,74,60,36,12,2,12,19,32,51,68,67,60,81,53,32,15,3,13,19,48,53,83,81,76,64,57,41,20,1,12,28,56,71,76,100,89,85,73,46,21,11,2,22,55,73,80,80,94,85,69,46,25,12,2,20,50,74,104,119,114,102,84,38,33,12,0,33,47,78,95,123,106,126,87,69,25,24,3,31,75,110,151,178,155,124,119,92,51,38,58,116,203,213,236,313,304,414,404,359,360,384,339,388,674,798,927,1028,948,1038,1016,917,765,574,656,859,1205,1362,1406,1455,1519,1550,1284,1088,1010,843,692,1156,1274,1496,1863,1792,2098,2077,1851,1558,1345,1008,949,1060,1985,2105,2660,2897,2647,2449,2288,2110,1301,1299,1211,1706,1954,2446,2947,3169,2742,2763,2620,2069,1468,1202,1234,1457,2212,2566,2673,3261,3287,3233,2661,2437,1588,1058,1576,2006,2116,2657,3330,3300,3560,3068,2479,2273,1823,1586
"California : all commercial","thousand megawatthours","ELEC.GEN.SUN-CA-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,3,3,4,4,4,3,3,1,1,"NM",1,3,4,6,7,6,5,7,6,3,2,1,3,5,5,6,8,7,10,10,9,9,9,3,4,6,8,9,10,9,10,9,11,9,6,4,6,9,10,10,10,10,10,9,7,7,6,5,8,9,10,12,12,14,14,12,10,9,6,5,6,10,11,13,15,13,12,12,11,7,6,6,9,11,13,17,18,16,16,15,12,8,7,7,8,12,14,15,18,18,18,14,13,8,6,9,11,13,16,19,18,20,17,14,13,11,9
"California : all industrial","thousand megawatthours","ELEC.GEN.SUN-CA-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,3,4,4,5,5,5,4,4,2,2,3,3,4,5,8,7,8,7,7,6,5,5
"Oregon","thousand megawatthours","ELEC.GEN.SUN-OR-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon : all sectors","thousand megawatthours","ELEC.GEN.SUN-OR-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,3,3,2,2,1,1,1,2,2,2,2,3,3,2,2,2,1,1,2,2,3,4,3,4,4,5,4,5,4,7,8,15,16,20,22,20,18,17,23,14,14,21,31,39,50,61,67,65,67,64,48,33,26,30,32,55,63,69,84,82,80,63,58,36,25,37,63,74,96,110,123,138,122,98,92,64,57
"Oregon : electric power",,"ELEC.GEN.SUN-OR-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon : electric utility","thousand megawatthours","ELEC.GEN.SUN-OR-1.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM"
"Oregon : independent power producers","thousand megawatthours","ELEC.GEN.SUN-OR-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,3,3,3,4,4,5,3,7,8,15,15,19,21,19,18,16,22,14,14,21,30,38,49,60,66,65,66,63,48,33,26,29,32,55,63,68,83,81,79,62,57,36,25,37,63,73,95,109,122,138,121,98,92,64,57
"Oregon : all commercial","thousand megawatthours","ELEC.GEN.SUN-OR-96.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : all industrial","thousand megawatthours","ELEC.GEN.SUN-OR-97.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington","thousand megawatthours","ELEC.GEN.SUN-WA-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
